LifeStage,PopGrpID,PopGrp,ID_Num,COMID,Reach,MWMT_Indx2047,MWMT_Indx2048,MWMT_Indx2049,MWMT_Indx2050,MWMT_Indx2051,MWMT_Indx2052,MWMT_Indx2053,MWMT_Indx2054,MWMT_Indx2055,MWMT_Indx2056,MWMT_Indx2057,MWMT_Indx2058,MWMT_Indx2059,MWMT_Indx2060,MWMT_Indx2061,MWMT_Indx2062,MWMT_Indx2063,MWMT_Indx2064,MWMT_Indx2065,MWMT_Indx2066,MWMT_Indx2067,MWMT_Indx2068,MWMT_Indx2069,MWMT_Indx2070,MWMT_Indx2071,MWMT_Indx2072,MWMT_Indx2073,MWMT_Indx2074,MWMT_Indx2075,MWMT_Indx2076,MWMT_Indx2077,MWMT_Indx2078,MWMT_Indx2079,MWMT_Indx2080
Spwn,17,Coquille,4685,23914573,Salmon Cr,21.47446442,22.7317524,21.07213211,24.24049568,23.39811325,23.58670807,22.19740486,23.2283802,23.38554192,25.00115585,22.87005424,24.55481911,21.68820381,22.1471138,22.34827995,23.66214371,23.25352669,23.88845634,23.80044556,22.98320961,24.05818939,23.10893822,23.74386787,22.59345055,22.09682274,22.12825394,24.30335999,24.47309494,25.4902401,23.07499123,23.24095345,24.08082199,23.38038635,22.78833008
Spwn,17,Coquille,4699,23914577,Salmon Cr,21.33242989,22.53151703,20.37818336,24.08844376,22.8956356,23.34764862,21.75933075,23.19070053,23.03375053,24.91713142,22.52523804,24.05077744,21.35126495,21.45171165,21.86605453,23.44181633,23.52342987,23.79338074,23.58621025,23.17186546,23.88755035,22.43106842,23.79965973,22.73868752,21.15036964,21.45171165,23.81849289,23.68037796,24.74637222,22.19250679,22.67214203,23.61006546,22.47426224,22.21573639
Spwn,17,Coquille,4696,23914579,Salmon Cr,21.21148682,22.40377617,20.26265144,23.95187759,22.76583099,23.21528053,21.63596725,23.05922127,22.90316391,24.77586555,22.39753342,23.91442299,21.23021507,21.33009148,21.74208641,23.30891609,23.39006615,23.65848732,23.45248985,23.04049492,23.75212097,22.30389786,23.66472816,22.60977364,21.03046036,21.33009148,23.68345642,23.54612541,24.60607529,22.06668854,22.5436039,23.47620964,22.34684563,22.08978462
Spwn,17,Coquille,4697,23914579,Salmon Cr,21.21148682,22.40377617,20.26265144,23.95187759,22.76583099,23.21528053,21.63596725,23.05922127,22.90316391,24.77586555,22.39753342,23.91442299,21.23021507,21.33009148,21.74208641,23.30891609,23.39006615,23.65848732,23.45248985,23.04049492,23.75212097,22.30389786,23.66472816,22.60977364,21.03046036,21.33009148,23.68345642,23.54612541,24.60607529,22.06668854,22.5436039,23.47620964,22.34684563,22.08978462
Spwn,17,Coquille,4705,23914585,Salmon Cr,20.96029854,22.13846779,20.02269936,23.66823578,22.4962368,22.94036293,21.37975121,22.78615189,22.63194084,24.48246765,22.13229942,23.63122559,20.97880363,21.07749939,21.48461533,23.03288841,23.11307907,23.37832069,23.17476273,22.76764679,23.47084618,22.03977203,23.38448906,22.34202576,20.78141403,21.07749939,23.40299416,23.26728821,24.31468773,21.80537224,22.27663994,23.19820213,22.08221245,21.82819557
Spwn,17,Coquille,4716,23916101,Dude Cr,19.54562378,20.96995544,17.83197403,22.13835335,20.90319061,21.05341339,19.37314606,21.49851799,20.79747772,22.79488182,20.41357613,21.84347343,19.56231499,19.24517822,19.79043007,21.56528282,21.94918442,21.66543198,21.74332428,21.43731499,21.87685585,20.5637989,22.03264236,21.09235954,18.9948082,19.33976364,22.15504456,21.56528282,22.39985275,19.89948082,20.3290062,21.97366524,19.32741165,20.00686264
Spwn,17,Coquille,52008,,"Coquille R, S Fk",23.55749321,25.47352791,20.01769829,27.05182076,24.16153145,24.64216232,23.02489853,25.27867699,24.62917328,26.94790077,23.66141319,25.81126976,23.42759132,22.78458405,22.99891853,25.95416069,26.18798065,25.77229881,25.9022007,25.35661697,26.9024353,24.29792595,26.415308,25.63590431,21.92074394,22.40787125,26.79201889,25.34362602,26.60886002,23.06386948,24.12775612,26.10874176,23.34380531,23.83535004
Spwn,17,Coquille,4739,23914635,Johnson Cr,19.84262085,21.45650864,16.86103058,22.78591537,20.3514061,20.75624466,19.39401436,21.2923851,20.74530411,22.69838142,19.93015289,21.74099159,19.73320389,19.19159508,19.37213135,21.86134911,22.05829811,21.70816612,21.81758308,21.35803413,22.66008759,20.46629333,22.24977684,21.59327888,18.46397781,18.87428665,22.56708336,21.34709358,22.41280556,19.42683983,20.32295799,21.99155426,19.66263008,20.07666206
Spwn,17,Coquille,47011,23915169,Rock Cr,19.17271042,21.27124214,15.16445923,22.22610283,18.88679123,20.09520149,18.64942551,20.06822777,19.65283775,22.09123421,18.62784767,20.80730057,18.83823967,17.89417076,18.40126991,21.077034,21.50321388,21.29282188,21.29282188,20.7587471,21.68663406,19.84165192,21.80531693,21.30360985,17.25759697,17.65680313,22.28544426,20.71019554,21.98334122,18.31387711,20.2354641,21.96715736,18.41950417,19.48549461
Spwn,17,Coquille,4757,23915169,Rock Cr,19.17271042,21.27124214,15.16445923,22.22610283,18.88679123,20.09520149,18.64942551,20.06822777,19.65283775,22.09123421,18.62784767,20.80730057,18.83823967,17.89417076,18.40126991,21.077034,21.50321388,21.29282188,21.29282188,20.7587471,21.68663406,19.84165192,21.80531693,21.30360985,17.25759697,17.65680313,22.28544426,20.71019554,21.98334122,18.31387711,20.2354641,21.96715736,18.41950417,19.48549461
