TARGET_FID,ORIG_SEQ,len_km,StartXUTM,EndXUTM,StartYUTM,EndYUTM,MidXUTM,MidYUTM,POPULATION,SPAWNMILES,NTOSORDER,STRATA,ACRES,HECTARES,TYPE,Shape_Leng,Shape_Length
87,84,0.999513066,472066.4888,472783.88,4734942.327,4734586.484,472479.3061,4734875.208,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5130171
88,88,0.533812648,463035.7671,463495.2371,4734689.782,4734888.204,463263.9903,4734800.967,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,533.8125971
89,89,0.065559227,463495.2371,463548.1598,4734888.204,4734926.2,463521.4148,4734907.719,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,65.55923426
90,90,0.933961853,463035.7671,463212.7941,4734689.782,4735506.701,463128.8964,4735100.665,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,933.9617892
91,92,0.064374503,463327.6839,463338.7672,4736385.238,4736444.782,463329.7503,4736414.941,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,64.37454109
92,91,0.999524419,463212.7941,463327.6839,4735506.701,4736385.238,463285.546,4735932.606,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5243872
93,93,0.935143951,467918.1075,468444.3546,4735085.016,4735518.737,468224.0616,4735328.549,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,935.1439593
94,95,0.690623845,469103.0221,469553.1077,4735838.102,4736156.016,469328.9786,4735993.674,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,690.6239046
95,94,0.999518804,468444.3546,469103.0221,4735518.737,4735838.102,468754.7256,4735665.905,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5187447
96,96,0.135914389,455592.7665,455704.5518,4734791.783,4734852.591,455655.6565,4734805.939,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,135.9144347
97,97,0.103891548,450186.7661,450215.1718,4734728.783,4734631.35,450197.6706,4734678.42,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,103.8915696
98,98,0.069093249,450186.7661,450119.7953,4734728.783,4734724.426,450153.2772,4734725.782,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,69.09328856
99,101,0.707259461,448626.3426,448125.7502,4734015.217,4733645.775,448379.6619,4733827.558,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,707.2595362
100,100,0.999532981,449333.421,448626.3426,4734502.488,4734015.217,448922.4027,4734319.314,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5328061
101,99,0.999533659,450119.7953,449333.421,4734724.426,4734502.488,449746.8231,4734726.265,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5337226
102,102,0.292267214,473926.5778,474178.8013,4735457.806,4735490.365,474050.8568,4735458.735,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,292.267292
103,107,0.560553197,475338.6767,475729.8064,4738788.088,4739166.433,475529.4717,4738985.127,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,560.5531565
104,106,0.999525943,474624.5994,475338.6767,4738280.638,4738788.088,474985.6413,4738518.957,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5259409
105,105,0.999523556,474477.0438,474624.5994,4737342.59,4738280.638,474540.8596,4737806.632,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5235584
106,104,0.999519853,474347.9094,474477.0438,4736427.814,4737342.59,474394.9166,4736879.727,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5199693
107,103,0.999516222,474178.8013,474347.9094,4735490.365,4736427.814,474224.3034,4735943.504,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.51625
108,108,0.439005403,409795.6906,409563.1683,4733838.886,4734192.94,409670.9329,4734013.607,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,439.0053598
109,110,0.816050532,409123.239,408570.1118,4734935.268,4735085.91,408827.8722,4734986.894,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,816.0506477
110,109,0.999601496,409563.1683,409123.239,4734192.94,4734935.268,409328.926,4734532.591,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,999.6014081
111,111,0.183536751,483638.1886,483819.3982,4736214.203,4736189.075,483729.5024,4736207.221,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,183.5367463
112,114,0.901852615,484826.3746,484772.2201,4734751.015,4733882.279,484719.9156,4734305.404,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,901.8526112
113,113,0.999508092,484521.8926,484826.3746,4735662.396,4734751.015,484771.391,4735228.789,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.508001
114,112,0.999511606,483819.3982,484521.8926,4736189.075,4735662.396,484293.0469,4736008.522,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5116595
115,115,0.097660956,410609.0742,410526.6109,4733992.381,4733946.118,410572.7312,4733961.88,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,97.66094319
116,116,0.977980264,410526.6109,409795.6906,4733946.118,4733838.886,410276.4536,4733805.296,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,977.9802487
117,117,0.021616312,410609.0742,410609.9202,4733992.381,4734013.973,410609.219,4734003.181,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,21.61631093
118,118,0.965519971,410609.9202,410591.0731,4734013.973,4734935.894,410625.4629,4734478.967,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,965.520026
119,119,0.034078116,412852.9671,412885.2378,4734311.862,4734302.003,412869.4315,4734308.586,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,34.07815894
120,121,0.389415241,413764.5994,414107.3644,4734641.251,4734479.069,413930.3271,4734553.24,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,389.4151868
121,120,0.999592731,412885.2378,413764.5994,4734302.003,4734641.251,413302.3522,4734551.012,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,999.5927103
122,122,0.610177897,412852.9671,412532.643,4734311.862,4734712.388,412695.7216,4734549.502,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,610.1778922
123,123,0.253951992,412532.643,412555.653,4734712.388,4734957.883,412524.7904,4734837.959,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,253.9520119
124,124,0.74558825,469553.1077,469492.6342,4736156.016,4736773.378,469557.9124,4736445.818,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,745.5882212
125,125,0.095561629,469492.6342,469517.1077,4736773.378,4736849.016,469491.4429,4736817.382,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,95.56172513
126,126,0.90395585,477640.5975,478388.3693,4736543.872,4736870.347,478054.2412,4736644.523,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,903.955917
127,127,0.737202574,478388.3693,478856.6052,4736870.347,4737363.869,478602.3226,4737152.351,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,737.2025858
128,128,0.262315491,477640.5975,477861.4733,4736543.872,4736682.048,477750.5509,4736613.998,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,262.3155581
129,131,0.542072662,476661.9239,476646.6546,4737835.254,4738346.784,476617.741,4738100.608,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,542.0726573
130,130,0.999520965,477399.9288,476661.9239,4737323.301,4737835.254,476984.0263,4737524.094,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5209357
131,129,0.999518561,477861.4733,477399.9288,4736682.048,4737323.301,477694.4658,4737004.84,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5185943
132,132,0.457455291,453087.7665,452852.8416,4735832.783,4735465.873,452997.3181,4735609.776,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,457.4553446
133,135,0.509113004,452277.0393,452625.4837,4733805.566,4733535.523,452449.8803,4733657.553,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,509.1131257
134,134,0.999528954,452344.409,452277.0393,4734687.418,4733805.566,452172.1071,4734276.056,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5289608
135,133,0.999531726,452852.8416,452344.409,4735465.873,4734687.418,452613.3094,4735045.926,South Umpqua,0,49,Umpqua,1153001.848,466605.1598,Functionally Independent,1369845.569,999.5317759
136,136,0.490447597,412555.653,412190.0279,4734957.883,4734777.215,412289.4384,4734877.313,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,490.4475248
137,139,0.073315458,410680.4598,410609.0742,4734005.241,4733992.381,410645.3119,4733996.583,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,73.31547815
138,138,0.99959533,411561.8117,410680.4598,4734161.706,4734005.241,411114.6714,4734016.761,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,999.5953456
139,137,0.999595546,412190.0279,411561.8117,4734777.215,4734161.706,411961.9349,4734466.655,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,999.5956649
140,140,0.926282043,412555.653,412661.6376,4734957.883,4735818.69,412657.067,4735392.251,Coquille,277.9,52,Mid-South Coast,676794.848,273890.2533,Functionally Independent,965425.0388,926.2820414
