"","x"
"1446",2556
"1447",2560
"1448",2565
"1449",2568
"1450",2569
"1451",2570
"1452",2574
"1453",2576
"1454",2580
"1455",41251
"1456",40987
"1457",2589
"1458",2592
"1459",2594
"1460",2597
"1461",2599
"1462",2603
"1463",2606
"1464",2604
"1465",2612
"1466",2614
"1467",2617
"1468",2623
"1469",2626
"1470",2627
"1471",2621
"1472",2630
"1473",2631
"1474",35221
"1475",37137
"1476",2637
"1477",42261
"1478",40499
"1479",2647
"1480",2650
"1481",2649
"1482",2651
"1483",2659
"1484",2677
"1485",41233
"1486",2689
"1487",40230
"1488",2693
"1489",2716
"1490",39812
"1491",2713
"1492",35302
"1493",40001
"1494",35156
"1495",2724
"1496",2727
"1497",35092
"1498",40947
"1499",36978
"1500",36357
"1501",2738
"1502",205086
"1503",2740
"1504",36116
"1505",41386
"1506",35254
"1507",40333
"1508",37195
"1509",2751
"1510",35056
"1511",2755
"1512",35334
"1513",2762
"1514",2765
"1515",37026
"1516",37381
"1517",2780
"1518",2782
"1519",35695
"1520",37389
"1521",35270
"1522",2791
"1523",36947
"1524",2796
"1525",35341
"1526",2806
"1527",2809
"1528",37119
"1529",35133
"1530",35293
"1531",36529
"1532",2819
"1533",36108
"1534",2824
"1535",40313
"1536",35357
"1537",2827
"1538",35435
"1539",2830
"1540",2832
"1541",2836
"1542",2835
"1543",2837
"1544",2839
"1545",36200
"1546",2843
"1547",35181
"1548",36136
"1549",41334
"1550",41129
"1551",36917
"1552",2850
"1553",2857
"1554",2860
"1555",2861
"1556",35261
"1557",40240
"1558",36936
"1559",205021
"1560",40014
"1561",3441
"1562",3440
"1563",35506
"1564",3442
"1565",3448
"1566",35652
"1567",35693
"1568",3761
"1569",3765
"1570",6050
"1571",51762
"1572",6049
"1573",6064
"1574",6077
"1575",6075
"1576",6080
"1577",6081
"1578",6082
"1579",45869
"1580",6086
"1581",6091
"1582",6092
"1583",45718
"1584",6094
"1585",47133
"1586",46271
"1587",52759
"1588",48480
"1589",305064
"1590",6105
"1591",6104
"1592",6109
"1593",6108
"1594",6114
"1595",47381
"1596",46944
"1597",46198
"1598",6133
"1599",50563
"1600",6136
"1601",45954
"1602",46976
"1603",6022
"1604",305032
"1605",6024
"1606",45638
"1607",6035
"1608",50171
"1609",46864
"1610",45204
"1611",6041
"1612",6042
"1613",51809
"1614",48191
"1615",46102
"1616",48351
"1617",5891
"1618",5905
"1619",48407
"1620",47802
"1621",5907
"1622",45303
"1623",5916
"1624",45016
"1625",45906
"1626",46014
"1627",46432
"1628",5940
"1629",5939
"1630",5950
"1631",5942
"1632",5969
"1633",52849
"1634",5964
"1635",52164
"1636",46480
"1637",5979
"1638",52752
"1639",5984
"1640",45830
"1641",49200
"1642",5994
"1643",5999
"1644",5998
"1645",48220
"1646",5197
"1647",5243
"1648",5249
"1649",52317
"1650",5261
"1651",50792
"1652",5267
"1653",5274
"1654",5280
"1655",5290
"1656",50758
"1657",5289
"1658",5303
"1659",5307
"1660",5323
"1661",5328
"1662",50728
"1663",5334
"1664",5338
"1665",5343
"1666",51785
"1667",5356
"1668",5357
"1669",5360
"1670",51010
"1671",51797
"1672",5371
"1673",49725
"1674",5379
"1675",5384
"1676",5382
"1677",50557
"1678",5392
"1679",5389
"1680",5397
"1681",5400
"1682",5403
"1683",5402
"1684",5407
"1685",5408
"1686",49531
"1687",5410
"1688",5416
"1689",5414
"1690",5418
"1691",3835
"1692",5431
"1693",51538
"1694",305004
"1695",5447
"1696",5445
"1697",5443
"1698",52041
"1699",51781
"1700",5441
"1701",5460
"1702",5457
"1703",49614
"1704",5463
"1705",49977
"1706",5469
"1707",5472
"1708",5475
"1709",5478
"1710",5477
"1711",5483
"1712",5480
"1713",5487
"1714",5485
"1715",5491
"1716",5496
"1717",5499
"1718",5503
"1719",5502
"1720",5517
"1721",45199
"1722",49705
"1723",5533
"1724",46828
"1725",5541
"1726",5545
"1727",5552
"1728",5558
"1729",5563
"1730",5564
"1731",52390
"1732",5566
"1733",5570
"1734",46004
"1735",50501
"1736",52585
"1737",5574
"1738",5580
"1739",5583
"1740",5581
"1741",5585
"1742",5587
"1743",50321
"1744",5590
"1745",5588
"1746",5592
"1747",5595
"1748",45057
"1749",5610
"1750",5608
"1751",5615
"1752",5616
"1753",5617
"1754",52522
"1755",5620
"1756",5622
"1757",5624
"1758",5629
"1759",5645
"1760",5641
"1761",5638
"1762",5649
"1763",5651
"1764",5652
"1765",5667
"1766",50067
"1767",5679
"1768",5680
"1769",51821
"1770",305012
"1771",46408
"1772",49988
"1773",50079
"1774",5689
"1775",5697
"1776",45001
"1777",51789
"1778",5701
"1779",5703
"1780",5707
"1781",5711
"1782",5720
"1783",52331
"1784",5731
"1785",5723
"1786",5727
"1787",5736
"1788",5733
"1789",52295
"1790",5739
"1791",5743
"1792",51578
"1793",5750
"1794",49993
"1795",5746
"1796",5752
"1797",5753
"1798",5758
"1799",5760
"1800",5763
"1801",5766
"1802",53091
"1803",5769
"1804",5774
"1805",5772
"1806",5771
"1807",50234
"1808",5776
"1809",50986
"1810",5779
"1811",5782
"1812",5811
"1813",5806
"1814",5837
"1815",5835
"1816",5834
"1817",5845
"1818",5852
"1819",5850
"1820",4141
"1821",4152
"1822",4182
"1823",4172
"1824",4175
"1825",4171
"1826",50288
"1827",4167
"1828",4166
