"","test_years","n_years_ahead","mod","sp","st","survey_GRTS_type","survey_pop_type","rmse","AIC"
"57",2018,2,1,TRUE,"iid","annual,annua","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",333.312113797818,30238.8387271423
"58",2019,2,1,TRUE,"iid","annual,annua","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",367.681750154517,30945.181772047
"59",2020,2,1,TRUE,"iid","annual,annua","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",327.18627887037,31591.9075769324
"60",2021,2,1,TRUE,"iid","annual,annua","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",410.680361758379,32256.3751932305
"61",2017,0,1,TRUE,"iid","annual,annua,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",336.065412579755,33346.9089709205
"62",2018,0,1,TRUE,"iid","annual,annua,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",308.448276464731,34463.717130523
"63",2019,0,1,TRUE,"iid","annual,annua,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",317.455135653491,35650.5459375468
"64",2020,0,1,TRUE,"iid","annual,annua,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",308.083754705343,36803.6212756041
"65",2021,0,1,TRUE,"iid","annual,annua,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",335.98021741979,37822.3643922613
"66",2017,1,1,TRUE,"iid","annual,annua,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",364.301410631116,31677.6125573381
"67",2018,1,1,TRUE,"iid","annual,annua,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",325.97398978764,32845.3384228537
"68",2019,1,1,TRUE,"iid","annual,annua,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",361.260743705914,33962.1231051373
"69",2020,1,1,TRUE,"iid","annual,annua,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",330.881697378902,35151.3228360416
"70",2021,1,1,TRUE,"iid","annual,annua,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",408.630947806293,36304.8682234582
"71",2017,2,1,TRUE,"iid","annual,annua,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",370.345380172656,30025.1325223525
"72",2018,2,1,TRUE,"iid","annual,annua,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",319.369069322564,31149.1222971759
"73",2019,2,1,TRUE,"iid","annual,annua,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",360.87710383667,32317.0789034012
"74",2020,2,1,TRUE,"iid","annual,annua,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",330.453120561719,33433.130624168
"75",2021,2,1,TRUE,"iid","annual,annua,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",398.619204421248,34619.6928461804
"76",2017,0,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",324.993204077094,34033.0217833874
"77",2018,0,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",294.887877508945,35813.6651150204
"78",2019,0,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",290.83555298396,37652.0465687676
"79",2020,0,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",296.156537211071,39149.6289867097
"80",2021,0,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",305.217996981819,40529.9554174997
"81",2017,1,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",362.380948783509,32193.3072691528
"82",2018,1,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",326.812122314342,34048.3697564859
"83",2019,1,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",356.444402314115,35829.6280432908
"84",2020,1,1,TRUE,"iid","annua,annual,Index,nine,once,Supplemental,three","c(""Nehalem"", ""Alsea"", ""Coos"", ""Lower Umpqua"")",334.580356452322,37669.5346607155
