"","yr","UTM_E_km","UTM_N_km","est"
"301",2011,444.007,5078.698,4.12751527587654
"302",2017,444.007,5078.698,2.31736999857909
"303",2009,442.862,5079.404,4.38629884826464
"304",2001,434.147,5060.344,1.04545068846889
"305",2013,434.147,5060.344,1.77140751846169
"306",2016,434.147,5060.344,1.40435873455028
"307",1999,433.424,5059.404,1.19431010477347
"308",2002,433.424,5059.404,1.83637672665811
"309",2005,433.424,5059.404,1.87604017870776
"310",2010,436.446,5058.264,2.67886876268719
"311",2010,436.985,5056.878,2.46640344695652
"312",1999,434.578,5057.7,1.62964026209515
"313",2000,434.578,5057.7,1.66891348040019
"314",2001,434.578,5057.7,1.11985762106838
"315",2002,434.578,5057.7,2.55599433858563
"316",2003,434.578,5057.7,2.43309821850094
"317",2004,434.578,5057.7,1.31800339756989
"318",2007,434.578,5057.7,1.8107654900853
"319",2008,434.578,5057.7,1.46289694193066
"320",2009,434.578,5057.7,2.80328024075165
"321",2010,434.578,5057.7,2.52376206135811
"322",2011,434.578,5057.7,2.68429656889793
"323",2012,434.578,5057.7,0.394128642057501
"324",2013,434.578,5057.7,2.09361608054637
"325",2015,434.578,5057.7,1.53962890116301
"326",2016,434.578,5057.7,1.56305459537953
"327",2017,434.578,5057.7,1.61055556758954
"328",2018,434.578,5057.7,0.976161343715085
"329",2019,434.578,5057.7,1.99616220299862
"330",2000,433.642,5055.497,1.86317632656169
"331",1998,432.632,5054.567,1.12091695678664
"332",2001,432.632,5054.567,1.30623069582136
"333",2004,432.632,5054.567,1.66011421435681
"334",2013,431.818,5054.527,2.66837591629941
"335",2003,431.444,5054.449,2.73666015161621
"336",2012,431.444,5054.449,0.684070029152073
"337",2001,434.932,5061.993,0.871012258457023
"338",2002,435.754,5062.459,2.19019361357662
"339",2011,437.38,5061.226,2.48172061687426
"340",2000,438.104,5059.237,1.51357411081791
"341",2004,439.247,5058.549,1.30035183034459
"342",2004,443.916,5059.203,1.84873326679253
"343",1999,446.071,5057.989,2.18119019254862
"344",2004,447.042,5057.757,2.19324778423655
"345",2013,447.042,5057.757,2.17708865951132
"346",2003,448.731,5059.404,3.59366862035387
