"","UTM_E_km","UTM_N_km","pred"
"501311",439,5089,13.2110644748485
"501312",449,5089,17.5912077736414
"501313",450,5089,18.1022034995859
"501314",451,5089,18.2144397566334
"501315",452,5089,17.1109614847867
"501316",453,5089,16.0743348050124
"501317",454,5089,15.5399430584977
"501318",455,5089,15.9100592490311
"501319",456,5089,16.2889905294255
"501320",457,5089,16.6769468494513
"501321",458,5089,17.0741431592712
"501322",459,5089,17.4807995285347
"501323",460,5089,17.8971412683097
"501324",461,5089,18.3233990559174
"501325",462,5089,18.7598090627411
"501326",463,5089,18.4213366241387
"501327",464,5089,17.4725305537704
"501328",465,5089,16.5725935192129
"501329",466,5089,15.7190084806456
"501330",467,5089,14.909388040451
"501331",468,5089,14.1414677658864
"501332",469,5089,13.4130998556768
"501333",470,5089,12.722247132816
"501334",471,5089,12.0669773467721
"501335",472,5089,11.4454577691638
"501336",473,5089,10.8559500677901
"501337",474,5089,10.4483837402562
"501338",475,5089,10.421301197257
"501339",476,5089,11.1929085021257
"501340",477,5089,12.0543757169148
"501341",478,5089,12.9821461416349
"501342",479,5089,13.9813228325275
"501343",480,5089,15.2057884475721
"501344",481,5089,16.5376129033889
"501345",482,5089,17.9860874354072
"501346",483,5089,19.5614290359777
"501347",484,5089,21.2747495698433
"501348",485,5089,23.138134153036
"501349",486,5089,23.6594067694158
"501350",487,5089,23.0640473781739
"501351",488,5089,24.0925805152912
"501352",489,5089,25.3936720430288
"501353",490,5089,25.9945847911383
"501354",491,5089,26.4806391539747
"501355",492,5089,26.9757819037013
"501356",424,5088,10.0085095969029
"501357",425,5088,9.95638375337924
"501358",426,5088,9.90452938919391
"501359",427,5088,9.8712256418349
"501360",428,5088,9.88438165923863
"501361",429,5088,10.0008874266333
"501362",430,5088,10.2913967990664
"501363",431,5088,10.5903449921633
"501364",432,5088,10.8979771398195
"501365",433,5088,11.2145454966684
"501366",434,5088,11.5403096449262
"501367",435,5088,11.875536707247
"501368",436,5088,12.2205015657596
"501369",437,5088,12.5754870874677
"501370",438,5088,12.9407843561972
"501371",439,5088,13.316692911282
"501372",440,5088,13.7035209931819
"501373",448,5088,17.2313159773876
"501374",449,5088,17.7318574370841
"501375",450,5088,18.2469388050038
"501376",451,5088,18.7769824416265
"501377",452,5088,17.8257782999484
"501378",453,5088,17.9149596189888
"501379",454,5088,18.3416417878217
"501380",455,5088,18.7784862833956
"501381",456,5088,19.2257351427402
"501382",457,5088,19.6836361675026
"501383",458,5088,20.1524430612433
"501384",459,5088,20.6324155700029
"501385",460,5088,21.1238196262163
"501386",461,5088,21.6269274960546
"501387",462,5088,22.1420179302762
"501388",463,5088,22.0555334129036
"501389",464,5088,20.9195450525393
"501390",465,5088,19.8420667055455
"501391",466,5088,18.8200847656354
"501392",467,5088,17.8507408447886
"501393",468,5088,16.9313237786071
"501394",469,5088,16.0592620434416
"501395",470,5088,15.2321165640801
"501396",471,5088,14.4475738918823
"501397",472,5088,13.70343973428
"501398",473,5088,12.9976328175455
"501399",474,5088,12.3281790656638
"501400",475,5088,11.3300908440389
"501401",476,5088,12.3224558321975
"501402",477,5088,13.4017387703778
"501403",478,5088,14.5755525128482
"501404",479,5088,15.8521766984723
"501405",480,5088,17.2406161521546
"501406",481,5088,18.7506644014749
"501407",482,5088,20.3929727565333
"501408",483,5088,22.1791254402696
"501409",484,5088,24.1217212991971
"501410",485,5088,24.3935555993852
"501411",486,5088,23.7797222707047
"501412",487,5088,23.181335290297
"501413",488,5088,23.5908625926544
"501414",489,5088,24.8648594329615
"501415",490,5088,26.2076569770468
"501416",491,5088,27.6229707261509
"501417",492,5088,28.3432234313359
"501418",493,5088,28.8731933276177
"501419",424,5087,10.0434198090123
"501420",425,5087,9.99111214778282
"501421",426,5087,9.93907691282597
"501422",427,5087,9.88731268530422
"501423",428,5087,9.84580594086814
"501424",429,5087,10.0808490454593
"501425",430,5087,10.3736811717354
"501426",431,5087,10.6750195908638
"501427",432,5087,10.9851113966963
"501428",433,5087,11.3042108607563
"501429",434,5087,11.6325796407372
"501430",435,5087,11.9704869950595
"501431",436,5087,12.3182100036589
"501432",437,5087,12.6760337951889
"501433",438,5087,13.0393469717579
"501434",439,5087,13.3871597386065
"501435",440,5087,13.7442500958931
"501436",441,5087,14.1108655149371
"501437",442,5087,14.4872600681312
"501438",443,5087,14.8736946050191
"501439",444,5087,15.2704369330696
"501440",447,5087,16.5252970400728
"501441",448,5087,16.9660943667297
"501442",449,5087,17.4186495627136
"501443",450,5087,17.8832762585363
"501444",451,5087,18.3966265059905
"501445",452,5087,20.3747201186605
"501446",453,5087,21.1448504500858
"501447",454,5087,21.6484592129058
"501448",455,5087,22.1640624699214
"501449",456,5087,22.6919458950557
"501450",457,5087,23.2324019661528
"501451",458,5087,23.7857301270272
"501452",459,5087,24.3522369533735
"501453",460,5087,24.932236322626
"501454",461,5087,25.5260495878659
"501455",462,5087,26.1340057558687
"501456",463,5087,26.4066915475766
"501457",464,5087,25.0465932143289
"501458",465,5087,23.7565478626436
"501459",466,5087,22.5329473561779
"501460",467,5087,21.3723693986144
"501461",468,5087,20.2715679618182
"501462",469,5087,19.2274642069987
"501463",470,5087,18.2371378734858
"501464",471,5087,17.2978191110332
"501465",472,5087,16.4068807328064
"501466",473,5087,14.9087893470151
"501467",474,5087,13.5199313501402
"501468",475,5087,12.8462754749364
"501469",476,5087,13.9714380340941
"501470",477,5087,15.1951498410084
"501471",478,5087,16.5260424966463
"501472",479,5087,17.9735036152058
"501473",480,5087,19.547743040802
"501474",481,5087,21.2598648638516
"501475",482,5087,23.1219457451334
"501476",483,5087,25.1471200999927
"501477",484,5087,25.1504849880473
"501478",485,5087,24.5176044776502
"501479",486,5087,23.9006496140399
"501480",487,5087,23.2992196482263
"501481",488,5087,23.099592736124
"501482",489,5087,24.3470591245452
"501483",490,5087,25.6618934708356
"501484",491,5087,27.0477339024746
"501485",492,5087,28.5084150197453
"501486",493,5087,30.0479785060176
"501487",494,5087,30.9040640938604
"501488",425,5086,10.0259616766673
"501489",426,5086,9.97374494005212
"501490",427,5086,9.92180015616032
"501491",428,5086,9.88624280293395
"501492",429,5086,9.58007556736185
"501493",430,5086,9.83561540359136
"501494",431,5086,10.0979715334337
"501495",432,5086,10.3673257753454
"501496",433,5086,10.6438647976257
"501497",434,5086,10.9277802477815
"501498",435,5086,11.2192688853434
"501499",436,5086,11.5185327182241
"501500",437,5086,11.8257791427144
"501501",438,5086,12.1412210872134
"501502",439,5086,12.465077159792
"501503",440,5086,12.7975717996938
"501504",441,5086,13.1389354328754
"501505",442,5086,13.4894046316973
"501506",443,5086,13.8492222788734
"501507",444,5086,14.2186377357939
"501508",445,5086,14.597907015338
"501509",446,5086,14.9872929592967
"501510",447,5086,15.3870654205276
"501511",448,5086,15.7975014499687
"501512",449,5086,16.2548333106509
"501513",450,5086,16.7582305063831
"501514",451,5086,18.5263366107756
"501515",452,5086,22.0623747539066
"501516",453,5086,23.2881395329178
"501517",454,5086,24.5820066495162
"501518",455,5086,25.9477598054887
"501519",456,5086,26.7830803181835
"501520",457,5086,27.4209752976439
"501521",458,5086,28.0740630779317
"501522",459,5086,28.7427055073206
"501523",460,5086,29.427273052256
"501524",461,5086,30.1281450026156
"501525",462,5086,30.8457096818574
"501526",463,5086,31.5803646621731
"501527",464,5086,29.9878333906655
"501528",465,5086,28.4432854059674
"501529",466,5086,26.9782906335991
"501530",467,5086,25.5887516200306
"501531",468,5086,24.2707819544408
"501532",469,5086,23.0206953987897
"501533",470,5086,21.7301345839929
"501534",471,5086,19.7058205711191
"501535",472,5086,17.8700855662066
"501536",473,5086,16.2053621157787
"501537",474,5086,14.6957192975133
"501538",475,5086,14.5653548457449
"501539",476,5086,15.8410858516114
"501540",477,5086,17.2285538948906
"501541",478,5086,18.7375456512002
"501542",479,5086,20.3787049785376
"501543",480,5086,22.163607995035
"501544",481,5086,24.1048447325248
"501545",482,5086,26.21610794187
"501546",483,5086,25.9309018136715
"501547",484,5086,25.2783830895715
"501548",485,5086,24.6422841833538
"501549",486,5086,24.02219191083
"501550",487,5086,23.4177034850756
"501551",488,5086,22.8284262547952
"501552",489,5086,23.8400417911995
"501553",490,5086,25.1274952616051
"501554",491,5086,26.4844761453004
"501555",492,5086,27.9147391886198
"501556",493,5086,29.4222419085657
"501557",494,5086,31.0111555432004
"501558",495,5086,32.685876593401
"501559",496,5086,33.3965408202519
"501560",425,5085,10.0609327625562
"501561",426,5085,10.0125136600405
"501562",427,5085,9.97893337669569
"501563",428,5085,9.94546571596169
"501564",429,5085,9.52009141518816
"501565",430,5085,9.1581565704517
"501566",431,5085,9.40244209969642
"501567",432,5085,9.65324372411152
"501568",433,5085,9.91073525463211
"501569",434,5085,10.1750951384425
"501570",435,5085,10.446506582644
"501571",436,5085,10.7251576812214
"501572",437,5085,11.0112415453959
"501573",438,5085,11.3049564374558
"501574",439,5085,11.6065059081564
"501575",440,5085,11.9160989377846
"501576",441,5085,12.2339500809875
"501577",442,5085,12.5602796154628
"501578",443,5085,12.8953136946163
"501579",444,5085,13.239284504291
"501580",445,5085,13.5924304236769
"501581",446,5085,13.9549961905129
"501582",447,5085,14.3623944243803
"501583",448,5085,14.8071845332088
"501584",449,5085,15.2657493814761
"501585",450,5085,15.7385155601579
"501586",451,5085,19.0688122477186
"501587",452,5085,23.3666961850917
"501588",453,5085,25.2171150673102
"501589",454,5085,26.6181542492916
"501590",455,5085,28.0970338497432
"501591",456,5085,29.6580786090614
"501592",457,5085,31.3058535461495
"501593",458,5085,33.045177308065
"501594",459,5085,33.9247323136002
"501595",460,5085,34.7327206467304
"501596",461,5085,35.5599529090519
"501597",462,5085,36.4068874349186
"501598",463,5085,37.2739934748742
"501599",464,5085,35.9038909511992
"501600",465,5085,34.0546315635985
"501601",466,5085,32.3006197993621
"501602",467,5085,30.6369498514314
"501603",468,5085,28.7219923181868
"501604",469,5085,26.0463378576668
"501605",470,5085,23.6199393231561
"501606",471,5085,21.4195767818989
"501607",472,5085,19.4241934002715
"501608",473,5085,17.6146939359697
"501609",474,5085,15.9737620020582
"501610",475,5085,16.5144801850449
"501611",476,5085,17.9609285991722
