"","yr","UTM_E_km","UTM_N_km","est"
"283",2012,457.21,5014.457,6.93942385275724
"284",2013,457.21,5014.457,6.70249130333045
"285",2014,457.21,5014.457,6.52061845488417
"286",2007,437.226,5014.374,4.84720143706868
"287",2008,437.226,5014.374,3.36865824825814
"288",2019,428.327,4991.139,3.83541603681982
"289",2015,428.327,4991.139,3.8326657604256
"290",2016,428.327,4991.139,3.68921084585302
"291",2013,428.327,4991.139,3.95470195231485
"292",2014,428.327,4991.139,3.93779211011642
"293",2020,439.896,4957.274,6.55859314435677
"294",2020,426.187,4936.796,4.7619005422895
"295",2020,445.412,4933.43,6.32591942170521
"296",2020,439.938,4928.614,5.02940759370409
"297",2020,426.312,4931.636,3.83232107724107
"298",2020,431.212,4898.297,6.02076901537711
"299",2020,457.122,4919.283,6.59829039339527
"300",2020,429.131,4889.946,6.10060749156843
"301",2020,428.919,4896.843,4.84593915469503
"302",2020,454.405,4861.318,4.8309730513346
"303",2020,471.58,4856.422,5.06933546208707
"304",2020,471.444,4856.059,5.03184190587667
"305",2020,440.537,4869.428,5.75924553807443
"306",2020,411.5,4891.411,5.54994148995409
"307",2020,414.483,4895.496,2.95911480058955
"308",2020,415.12,4902.052,5.31850181169285
"309",2019,439.896,4957.274,6.89650073081016
"310",2015,439.896,4957.274,6.80008585308635
"311",2016,439.896,4957.274,6.68191824482176
"312",2017,439.896,4957.274,6.88122281138407
"313",2018,439.896,4957.274,6.59311984940481
"314",1998,439.896,4957.274,5.81621274464298
"315",1999,439.896,4957.274,5.58310540270671
"316",2000,439.896,4957.274,6.62821619410695
"317",2001,439.896,4957.274,7.07189398442233
"318",2002,439.896,4957.274,6.96828921224939
"319",2003,439.896,4957.274,6.9677070454995
"320",2004,439.896,4957.274,6.94134243037943
"321",2005,439.896,4957.274,6.71494195261363
"322",2006,439.896,4957.274,7.38035036480319
"323",2007,439.896,4957.274,7.15585644059558
"324",2008,439.896,4957.274,6.44721235261528
"325",2009,439.896,4957.274,6.96302989761351
"326",2010,439.896,4957.274,6.78918869759347
"327",2011,439.896,4957.274,6.66397387928903
"328",2012,439.896,4957.274,6.98607313034671
"329",2013,439.896,4957.274,6.92175642295618
"330",2014,439.896,4957.274,6.83198627056019
"331",2019,426.187,4936.796,4.9187675080592
"332",2015,426.187,4936.796,4.99035839283197
"333",2016,426.187,4936.796,4.77743849212573
"334",2017,426.187,4936.796,4.95181719508606
"335",2012,426.187,4936.796,5.06327515195707
"336",2013,426.187,4936.796,5.07161547960544
"337",2014,426.187,4936.796,4.89200876648722
"338",2019,445.412,4933.43,6.62133790239005
"339",2015,445.412,4933.43,6.6377621123457
"340",2016,445.412,4933.43,6.44108042117703
"341",2017,445.412,4933.43,6.52713737125163
"342",2018,445.412,4933.43,6.30430262678713
"343",1998,445.412,4933.43,5.49772115090397
"344",1999,445.412,4933.43,5.37000431612093
"345",2000,445.412,4933.43,6.31675061937053
"346",2001,445.412,4933.43,6.61597869859611
"347",2002,445.412,4933.43,6.56105844600415
"348",2003,445.412,4933.43,6.54217528148255
"349",2004,445.412,4933.43,6.56647575000267
"350",2005,445.412,4933.43,6.23384100714218
"351",2006,445.412,4933.43,6.97978977318923
"352",2007,445.412,4933.43,6.55584951704567
"353",2008,445.412,4933.43,6.05954138943298
"354",2009,445.412,4933.43,6.63154153905828
"355",2010,445.412,4933.43,6.47227843097466
"356",2011,445.412,4933.43,6.39286644866262
"357",2012,445.412,4933.43,6.62456549007788
"358",2013,445.412,4933.43,6.66190308536581
"359",2014,445.412,4933.43,6.44801900589226
"360",1998,442.396,4943.036,2.79367996128635
"361",1999,442.396,4943.036,2.63671627931913
"362",2000,442.396,4943.036,3.6120097703112
"363",2001,442.396,4943.036,3.98033335866612
"364",2002,442.396,4943.036,3.89735149513046
"365",2003,442.396,4943.036,3.88764808014987
"366",2004,442.396,4943.036,3.88649869384827
"367",2005,442.396,4943.036,3.60893414791745
"368",2006,442.396,4943.036,4.329458015272
"369",2019,439.938,4928.614,5.30127497823749
"370",2016,439.938,4928.614,5.09788100620648
"371",2017,439.938,4928.614,5.21386046602084
"372",2018,439.938,4928.614,4.95569248741805
"373",2007,434.878,4946.226,5.87210770370902
"374",2019,426.312,4931.636,4.07226662000179
"375",2015,426.312,4931.636,4.10826748495139
"376",2016,426.312,4931.636,3.91801349224236
"377",2017,426.312,4931.636,4.0693452590456
"378",2018,426.312,4931.636,3.80371443281106
"379",2007,426.312,4931.636,4.21467547623371
